,fuelType_Clusters,tripsTaken_Clusters,dailyRate_Clusters,vehicleMake_Clusters,vehicleType_Clusters,vehicleAge_Clusters
0,1,0,3,1,1,3
1,1,0,0,1,1,3
2,2,3,1,1,0,4
3,0,0,1,0,0,3
4,0,0,1,2,0,1
5,0,0,1,3,1,4
6,3,0,1,0,1,1
7,0,0,3,0,1,3
8,0,0,3,0,0,0
9,3,0,1,0,1,3
10,0,0,1,0,3,4
11,2,0,1,1,4,4
12,0,0,3,1,1,3
13,2,3,1,1,0,4
14,0,2,1,1,0,1
15,3,0,1,3,2,4
16,0,0,3,3,0,1
17,3,0,3,4,1,3
18,0,0,1,0,0,3
19,3,0,3,0,1,4
20,0,2,1,3,1,0
21,1,0,0,1,0,0
22,3,0,1,2,4,4
23,0,2,1,1,0,3
24,0,0,1,0,0,0
25,3,2,1,2,0,1
26,0,0,1,0,0,0
27,0,0,1,0,0,1
28,0,0,3,1,1,0
29,0,0,3,3,1,0
30,0,0,1,0,0,3
31,0,0,1,2,1,3
32,2,0,3,4,0,0
33,0,0,3,2,0,0
34,3,0,3,4,4,0
35,3,3,1,1,4,1
36,0,3,3,4,1,0
37,1,0,3,1,0,3
38,0,3,3,3,0,0
39,0,0,0,3,0,0
40,0,0,0,2,0,3
41,0,0,3,3,0,3
42,0,2,3,3,0,1
43,0,1,3,3,1,0
44,0,3,1,1,0,0
45,0,3,1,2,1,4
46,1,0,3,1,0,3
47,0,1,3,2,0,4
48,0,3,3,2,0,0
49,0,2,1,3,0,3
50,0,2,3,2,0,0
51,0,0,0,2,0,4
52,0,3,1,2,2,0
53,0,3,3,4,0,0
54,1,0,3,1,0,3
55,0,3,3,3,0,0
56,0,3,0,2,0,0
57,0,0,0,3,0,0
58,0,3,3,2,0,0
59,0,2,3,4,1,4
60,0,0,3,3,0,0
61,0,3,1,0,0,3
62,0,2,3,2,0,0
63,0,0,3,3,0,4
64,1,3,0,1,0,3
65,4,3,3,3,1,4
66,0,2,3,0,0,3
67,0,0,3,4,1,0
68,0,3,1,4,1,1
69,0,0,1,0,0,3
70,0,2,3,3,0,0
71,0,2,1,3,1,3
72,0,2,1,1,0,0
73,0,0,1,2,0,1
74,0,0,3,2,0,3
75,0,0,3,4,1,0
76,0,0,3,2,1,3
77,0,3,3,4,1,0
78,1,0,3,1,0,3
79,0,3,3,2,0,4
80,0,2,0,2,0,0
81,0,0,3,3,0,0
82,1,3,0,1,1,3
83,0,2,3,3,0,0
84,0,0,0,3,0,0
85,0,0,3,2,0,3
86,0,3,1,3,0,0
87,0,0,0,2,0,0
88,1,0,3,1,0,3
89,0,0,1,2,0,1
90,1,3,0,1,1,0
91,0,2,0,2,0,0
92,0,0,3,3,0,0
93,0,0,3,4,1,3
94,0,3,0,2,0,0
95,0,3,1,0,0,0
96,0,3,0,3,0,0
97,0,0,3,1,0,3
98,0,3,1,0,0,0
99,0,3,3,3,0,0
100,0,0,3,2,1,3
101,0,0,3,3,0,4
102,0,0,3,4,1,3
103,0,3,4,2,0,1
104,0,0,0,3,0,3
105,1,0,3,1,1,0
106,2,0,0,3,1,0
107,1,0,3,1,0,3
108,0,2,3,3,1,1
109,0,0,0,4,0,0
110,3,3,1,0,4,0
111,0,2,3,2,0,0
112,0,0,3,2,0,0
113,0,0,1,2,1,0
114,0,3,3,2,0,0
115,1,0,3,1,0,3
116,0,3,3,2,1,1
117,3,3,1,1,4,3
118,0,3,3,3,0,0
119,1,0,3,1,4,3
120,3,3,1,3,4,4
121,0,0,0,2,0,0
122,0,3,3,3,0,0
123,4,0,0,4,1,0
124,0,3,3,2,0,4
125,0,3,3,4,0,0
126,0,0,3,2,1,4
127,0,3,1,3,0,0
128,0,0,0,3,0,0
129,0,3,4,4,0,4
130,0,0,3,2,0,0
131,0,2,3,2,0,3
132,0,3,3,2,0,0
133,0,0,3,0,0,4
134,0,0,3,3,0,0
135,4,0,3,2,1,0
136,0,0,3,0,0,3
137,1,0,0,1,0,0
138,0,2,1,0,0,0
139,0,1,3,2,0,3
140,0,0,3,3,0,0
141,1,2,3,1,0,4
142,0,0,1,3,0,3
143,0,0,0,3,0,4
144,3,2,1,1,4,1
145,0,0,1,1,0,1
146,3,0,0,3,1,0
147,0,0,3,2,3,0
148,1,3,3,1,0,3
149,2,0,1,4,4,0
150,0,2,3,3,1,0
151,0,3,1,4,1,4
152,0,0,1,4,1,0
153,0,0,3,3,0,0
154,0,0,1,4,0,3
155,3,4,1,3,4,0
156,0,2,3,3,0,0
157,0,0,1,4,0,4
158,3,2,1,1,4,0
159,3,1,1,3,0,0
160,0,3,1,0,0,3
161,0,3,3,4,1,3
162,0,0,1,4,0,0
163,0,0,3,4,1,0
164,0,3,1,1,0,4
165,2,0,4,2,0,0
166,0,3,0,4,1,3
167,1,0,0,1,0,3
168,1,3,0,1,0,3
169,1,2,3,1,0,4
170,2,0,1,1,0,1
171,0,3,3,3,0,0
172,3,3,1,2,1,1
173,0,0,1,4,1,3
174,0,0,0,3,0,0
175,0,3,1,2,0,0
176,0,3,3,4,1,3
177,3,0,3,2,4,0
178,0,0,3,3,0,4
179,3,0,1,2,0,3
180,3,0,0,3,1,3
181,0,2,3,3,0,4
182,0,0,3,4,1,0
183,0,0,1,0,0,4
184,0,1,1,3,0,0
185,0,2,1,1,0,0
186,3,2,1,2,4,1
187,0,0,1,1,1,0
188,0,2,3,3,0,0
189,0,0,1,2,2,0
190,0,2,1,1,0,3
191,0,0,1,2,0,0
192,2,1,1,4,0,1
